chemical,crop,epa_registration,active_ingredients,frac_code,irac_code,phi_days,rei_hours,application_uom,maximum_quantity_per_acre,label_date,effective_date,expiration_date,dup_seq,dup_copies,is_redundant_copy,times_sprayed,last_sprayed,usage_bucket,compliance_id
Marrone Bio Venerate CG,Lettuce,84059-14,,,,0,4,QT,10.0,2021-11-21,2021-11-21,,1,1,False,2,2025-12-17,used last 12mo,a7dad35d-2fbb-4cc7-8320-b836b2ec4388
Merivon(R) Xemium(R),Cuke,7969-310,,,,0,12,OZ,5.5,2026-07-12,2026-07-12,,1,1,False,0,,never used,8a157730-e31b-4db1-b61f-ebdc5bc5baec
Merivon(R) Xemium(R) (2),Lettuce,7969-310,,,,0,12,OZ,13.75,2026-07-12,2026-07-12,,1,1,False,0,,never used,b44f2737-2148-4a92-8a62-629680bcf87d
Nanocrop,Cuke,N/A,,,,0,0,GAL,2.5,2022-08-01,2022-08-01,,1,2,False,50,2025-08-26,used last 12mo,018126fd-cdcf-47f3-953d-c731fdf0aae0
Nanocrop,Cuke,N/A,,,,0,0,GAL,2.5,2022-08-01,2022-08-01,,2,2,True,50,2025-08-26,used last 12mo,d7001073-bdf0-4d88-b281-b62b79de3599
Nanocrop (2),Lettuce,N/A,,,,0,0,GAL,6.25,2022-08-01,2022-08-01,,1,1,False,0,,never used,f6afe695-2222-4f77-89af-bb3ef3344b13
Natural Wet,Cuke,N/A,,,,0,0,OZ,16.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,bb316bc4-abba-4bf5-ae79-f7d0cb10d767
Natural Wet (2),Lettuce,N/A,,,,0,0,OZ,40.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,e3456e6d-9dc6-4575-884d-e4fe3963c9ca
Oxidate 5.0,Cuke,70299–28,,,,0,1,GAL,1.0,2022-03-11,2022-03-11,,1,2,False,113,2026-07-16,used last 12mo,f076753a-b9e9-40fe-8232-a555bcd371f2
Oxidate 5.0,Cuke,70299–28,,,,0,1,GAL,1.0,2022-03-11,2022-03-11,,2,2,True,113,2026-07-16,used last 12mo,1b701f2c-9e4b-4a66-8ce3-36976f13ebbe
Oxidate 5.0,Lettuce,70299–28,,,,0,0,ML,300.0,2022-03-11,2022-03-11,,1,2,False,113,2026-07-16,used last 12mo,633cb98e-8f5b-4e2a-87f3-f2f6ea1d93f9
Oxidate 5.0,Lettuce,70299–28,,,,0,0,ML,300.0,2022-03-11,2022-03-11,,2,2,True,113,2026-07-16,used last 12mo,dfcadcc8-d99c-4e18-9d78-735f0834ebfa
Previcur Flex,Cuke,264-678,,,,2,12,GAL,3.0,2019-12-16,2019-12-16,,1,2,False,0,,never used,16431920-8e59-4939-aef8-c24ec99573b4
Previcur Flex,Cuke,264-678,,,,2,12,GAL,3.0,2019-12-16,2019-12-16,,2,2,True,0,,never used,136c9b96-41c7-4aea-bc6a-e77d7221f07f
Previcur Flex,Lettuce,264-678,,,,2,12,GAL,7.5,2019-12-16,2019-12-16,,1,1,False,0,,never used,4bb00be4-3b3e-4cbf-958a-f751560e0869
Previcur Flex (2),Lettuce,264-678,,,,2,12,GAL,7.5,2019-12-16,2019-12-16,,1,1,False,0,,never used,3eb7e5c1-eaa3-477a-bddb-fdddd8e0943e
Purecrop1,Cuke,LEGACY_UNKNOWN,,,,0,0,GAL,2.5,2026-07-12,2026-07-12,,1,1,False,1,2024-03-21,dormant 12mo+,65353562-7476-40c5-adac-193ed3b7cba6
Pyganic 5.0,Cuke,1021-1772,,,,0,12,OZ,102.0,2017-06-14,2017-06-14,,1,2,False,186,2026-07-06,used last 12mo,54fd6ef0-7632-45af-a93a-d696ff4d45c8
Pyganic 5.0,Cuke,1021-1772,,,,0,12,OZ,102.0,2017-06-14,2017-06-14,,2,2,True,186,2026-07-06,used last 12mo,92dd074e-5081-492e-894c-3e6282cd96b3
Pyganic 5.0,Lettuce,1021-1772,,,,0,12,OZ,255.0,2017-06-14,2017-06-14,,1,2,False,186,2026-07-06,used last 12mo,5918011b-578e-48bf-b058-41f4836f3f89
Pyganic 5.0,Lettuce,1021-1772,,,,0,12,OZ,255.0,2017-06-14,2017-06-14,,2,2,True,186,2026-07-06,used last 12mo,af15c1c0-fe25-46b9-b9a9-576b36669ee5
Quadris,Cuke,100-1098,,,,1,4,FLOZ,15.5,2018-12-19,2018-12-19,,1,2,False,110,2026-07-16,used last 12mo,710a8562-5278-45c8-babd-183cb93814ae
Quadris,Cuke,100-1098,,,,1,4,FLOZ,15.5,2018-12-19,2018-12-19,,2,2,True,110,2026-07-16,used last 12mo,dd6ea9e7-2632-44c7-b118-865d90af11e0
Quadris,Lettuce,100-1098,,,,0,4,FLOZ,15.5,2018-12-19,2018-12-19,,1,2,False,110,2026-07-16,used last 12mo,159b269d-5819-4e18-87a5-bb232dc52b36
Quadris,Lettuce,100-1098,,,,0,4,FLOZ,15.5,2018-12-19,2018-12-19,,2,2,True,110,2026-07-16,used last 12mo,ab5693bb-bf12-4fce-b18f-b2904257791b
Radiant SC,Cuke,62719-545,,,,1,4,FLOZ,10.0,2024-03-25,2024-03-25,,1,2,False,11,2026-07-18,used last 12mo,6d752006-4a82-40e1-9724-acf3285a01e3
Radiant SC,Cuke,62719-545,,,,1,4,FLOZ,10.0,2024-03-25,2024-03-25,,2,2,True,11,2026-07-18,used last 12mo,705311c2-d81d-4cd7-80e4-e910b625bb34
